|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-13 |    13 |      52 |    1 | 2024-03-13 13:52:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-14 |     9 |      12 |    0 | 2024-03-14 09:12:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-14 |    17 |      27 |    1 | 2024-03-14 17:27:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-15 |     9 |      21 |    0 | 2024-03-15 09:21:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-15 |    17 |      31 |    1 | 2024-03-15 17:31:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-16 |     9 |      18 |    0 | 2024-03-16 09:18:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-16 |    17 |      29 |    1 | 2024-03-16 17:29:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-18 |     9 |      21 |    0 | 2024-03-18 09:21:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-19 |     6 |       0 |    1 | 2024-03-19 06:00:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-19 |     6 |       1 |    0 | 2024-03-19 06:01:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-19 |    17 |      34 |    1 | 2024-03-19 17:34:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-20 |     9 |      25 |    0 | 2024-03-20 09:25:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-20 |    17 |      30 |    1 | 2024-03-20 17:30:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-21 |     9 |      14 |    0 | 2024-03-21 09:14:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-21 |    17 |      29 |    1 | 2024-03-21 17:29:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-22 |     9 |      21 |    0 | 2024-03-22 09:21:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-22 |    17 |      28 |    1 | 2024-03-22 17:28:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-23 |     9 |      16 |    0 | 2024-03-23 09:16:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-23 |    17 |      29 |    1 | 2024-03-23 17:29:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-25 |     9 |       9 |    0 | 2024-03-25 09:09:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-25 |    17 |      29 |    1 | 2024-03-25 17:29:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-27 |     9 |      23 |    0 | 2024-03-27 09:23:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-28 |     6 |       4 |    1 | 2024-03-28 06:04:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-28 |     6 |       5 |    0 | 2024-03-28 06:05:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-28 |    17 |      29 |    1 | 2024-03-28 17:29:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-29 |     9 |      36 |    0 | 2024-03-29 09:36:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-29 |    17 |      31 |    1 | 2024-03-29 17:31:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-30 |     9 |      15 |    0 | 2024-03-30 09:15:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-30 |    17 |      30 |    1 | 2024-03-30 17:30:00 | CJOU214760220 |
