PDATE,TOKEN,IN_TIME,OUT_TIME,TOTAL_TIME,STATUS
2023-09-14,3,2023-09-14 08:41:59,2023-09-14 19:04:00,10:22:00,
2023-09-15,3,2023-09-15 08:58:00,2023-09-15 18:08:00,09:10:00,
2023-09-16,3,2023-09-16 09:26:59,2023-09-16 22:18:59,12:52:00,
2023-09-17,3,2023-09-17 00:06:00,2023-09-17 15:52:00,15:46:00,
2023-09-18,3,2023-09-18 05:35:00,2023-09-18 18:47:59,13:12:59,
2023-09-19,3,,,,
2023-09-20,3,,,,
2023-09-21,3,,,,
2023-09-22,3,,,,
2023-09-23,3,,,,
2023-09-24,3,,,,
2023-09-25,3,,,,
2023-09-26,3,,,,
2023-09-27,3,,,,
2023-09-28,3,,,,
2023-09-29,3,,,,
2023-09-30,3,,,,
2023-09-01,7,,,,
2023-09-02,7,,,,
2023-09-03,7,2023-09-03 08:29:59,2023-09-03 16:30:00,08:00:00,
2023-09-04,7,2023-09-04 11:21:00,2023-09-04 14:48:00,03:27:00,
2023-09-05,7,2023-09-05 08:49:59,2023-09-05 20:17:59,11:28:00,
2023-09-06,7,2023-09-06 08:55:00,2023-09-06 18:54:00,09:59:00,
2023-09-07,7,2023-09-07 09:04:59,2023-09-07 21:14:59,12:10:00,
2023-09-08,7,,,,
2023-09-09,7,2023-09-09 01:51:00,2023-09-09 13:44:59,11:53:59,
2023-09-10,7,2023-09-10 17:58:00,2023-09-11 12:17:00,18:19:00,
2023-09-11,7,,,,
2023-09-12,7,,,,
2023-09-13,7,2023-09-13 08:57:00,2023-09-13 19:34:59,10:37:59,
2023-09-14,7,2023-09-14 08:58:00,2023-09-14 19:42:59,10:44:59,
2023-09-15,7,2023-09-15 09:00:00,2023-09-15 23:51:59,14:51:59,
2023-09-16,7,2023-09-16 00:00:59,2023-09-16 12:17:00,12:16:00,
2023-09-17,7,2023-09-17 13:12:59,2023-09-17 19:36:00,06:23:00,
2023-09-18,7,,,,
2023-09-19,7,,,,
2023-09-20,7,,,,
2023-09-21,7,,,,
2023-09-22,7,,,,
2023-09-23,7,,,,
2023-09-24,7,,,,
2023-09-25,7,,,,
2023-09-26,7,,,,
2023-09-27,7,,,,
2023-09-28,7,,,,
2023-09-29,7,,,,
2023-09-30,7,,,,
2023-09-01,9,2023-09-01 20:57:00,2023-09-02 07:57:59,11:00:59,
2023-09-02,9,,,,
2023-09-03,9,,,,
2023-09-04,9,2023-09-04 13:02:00,2023-09-04 21:06:00,08:04:00,
2023-09-05,9,2023-09-05 07:48:00,2023-09-05 20:23:00,12:35:00,
2023-09-06,9,2023-09-06 07:52:00,2023-09-06 16:48:00,08:56:00,
2023-09-07,9,,,,
2023-09-08,9,2023-09-08 07:50:00,2023-09-08 16:54:59,09:04:59,
2023-09-09,9,2023-09-09 07:41:59,2023-09-09 16:48:00,09:06:00,
2023-09-10,9,2023-09-10 07:57:59,2023-09-10 16:52:59,08:55:00,
2023-09-11,9,2023-09-11 07:17:00,2023-09-11 16:45:59,09:28:59,
2023-09-12,9,2023-09-12 07:39:00,2023-09-12 20:14:00,12:35:00,
2023-09-13,9,2023-09-13 07:50:00,2023-09-13 16:54:59,09:04:59,
2023-09-14,9,2023-09-14 07:42:59,2023-09-14 19:22:59,11:40:00,
2023-09-15,9,2023-09-15 07:20:59,2023-09-15 19:33:59,12:13:00,
2023-09-16,9,2023-09-16 07:25:00,2023-09-16 19:56:59,12:31:59,
2023-09-17,9,2023-09-17 07:08:59,2023-09-17 15:22:00,08:13:00,
2023-09-18,9,,,,
2023-09-19,9,,,,
2023-09-20,9,,,,
2023-09-21,9,,,,
2023-09-22,9,,,,
2023-09-23,9,,,,
2023-09-24,9,,,,
2023-09-25,9,,,,
2023-09-26,9,,,,
2023-09-27,9,,,,
2023-09-28,9,,,,
2023-09-29,9,,,,
2023-09-30,9,,,,
2023-09-01,10,2023-09-01 21:24:59,2023-09-02 08:29:59,11:05:00,
2023-09-02,10,,,,
2023-09-03,10,,,,
2023-09-04,10,,,,
2023-09-05,10,,,,
2023-09-06,10,2023-09-06 21:59:59,2023-09-07 08:36:00,10:36:00,
2023-09-07,10,,,,
2023-09-08,10,,,,
2023-09-09,10,2023-09-09 20:18:59,2023-09-10 08:14:00,11:55:00,
2023-09-10,10,,,,
2023-09-11,10,,,,
2023-09-12,10,,,,
2023-09-13,10,,,,
2023-09-14,10,,,,
2023-09-15,10,,,,
2023-09-16,10,,,,
2023-09-17,10,2023-09-17 21:51:00,2023-09-18 08:26:00,10:35:00,
2023-09-18,10,,,,
2023-09-19,10,,,,
2023-09-20,10,,,,
2023-09-21,10,,,,
2023-09-22,10,,,,
2023-09-23,10,,,,
2023-09-24,10,,,,
2023-09-25,10,,,,
2023-09-26,10,,,,
2023-09-27,10,,,,
2023-09-28,10,,,,
2023-09-29,10,,,,
2023-09-30,10,,,,
2023-09-01,11,2023-09-01 09:18:00,2023-09-01 18:43:00,09:25:00,
2023-09-02,11,,,,
2023-09-03,11,2023-09-03 08:35:00,2023-09-03 18:19:00,09:44:00,
2023-09-04,11,2023-09-04 09:06:00,2023-09-04 12:47:59,03:41:59,
2023-09-05,11,2023-09-05 09:02:59,2023-09-06 11:15:59,02:13:00,
2023-09-06,11,,,,
2023-09-07,11,2023-09-07 09:02:59,2023-09-07 18:43:00,09:40:00,
2023-09-08,11,2023-09-08 08:59:00,2023-09-08 18:20:00,09:21:00,
2023-09-09,11,2023-09-09 09:34:59,2023-09-09 18:12:59,08:38:00,
2023-09-10,11,,,,
2023-09-11,11,,,,
2023-09-12,11,2023-09-12 09:04:59,2023-09-12 18:45:00,09:40:00,
2023-09-13,11,2023-09-13 08:56:00,2023-09-13 18:33:00,09:37:00,
2023-09-14,11,,,,
2023-09-15,11,2023-09-15 08:42:59,2023-09-15 18:34:59,09:52:00,
2023-09-16,11,2023-09-16 08:58:00,2023-09-16 18:08:00,09:10:00,
2023-09-17,11,,,,
2023-09-18,11,2023-09-18 10:41:00,2023-09-18 18:23:59,07:42:59,
2023-09-19,11,,,,
2023-09-20,11,,,,
2023-09-21,11,,,,
2023-09-22,11,,,,
2023-09-23,11,,,,
2023-09-24,11,,,,
2023-09-25,11,,,,
2023-09-26,11,,,,
2023-09-27,11,,,,
2023-09-28,11,,,,
2023-09-29,11,,,,
2023-09-30,11,,,,
2023-09-01,14,,,,
2023-09-02,14,,,,
2023-09-03,14,2023-09-03 12:14:59,2023-09-03 23:44:00,11:29:00,
2023-09-04,14,2023-09-04 13:10:59,2023-09-04 23:27:59,10:17:00,
2023-09-05,14,2023-09-05 13:02:00,2023-09-05 23:33:00,10:31:00,
2023-09-06,14,,,,
2023-09-07,14,,,,
2023-09-08,14,,,,
2023-09-09,14,,,,
2023-09-10,14,,,,
2023-09-11,14,2023-09-11 13:02:00,2023-09-11 23:56:00,10:54:00,
2023-09-12,14,,,,
2023-09-13,14,,,,
2023-09-14,14,,,,
2023-09-15,14,,,,
2023-09-16,14,,,,
2023-09-17,14,2023-09-17 13:39:00,2023-09-17 23:37:59,09:58:59,
2023-09-18,14,2023-09-18 13:06:00,2023-09-18 23:10:00,10:04:00,
2023-09-19,14,,,,
2023-09-20,14,,,,
2023-09-21,14,,,,
2023-09-22,14,,,,
2023-09-23,14,,,,
2023-09-24,14,,,,
2023-09-25,14,,,,
2023-09-26,14,,,,
2023-09-27,14,,,,
2023-09-28,14,,,,
2023-09-29,14,,,,
2023-09-30,14,,,,
2023-09-01,16,2023-09-01 13:27:00,2023-09-02 00:43:00,11:16:00,
2023-09-02,16,,,,
2023-09-03,16,,,,
2023-09-04,16,2023-09-04 13:21:59,2023-09-04 22:33:59,09:12:00,
2023-09-05,16,,,,
2023-09-06,16,2023-09-06 13:28:00,2023-09-06 22:27:00,08:59:00,
2023-09-07,16,2023-09-07 12:57:59,2023-09-07 23:59:00,11:01:00,
2023-09-08,16,2023-09-08 13:26:00,2023-09-08 23:03:00,09:37:00,
2023-09-09,16,,,,
2023-09-10,16,2023-09-10 13:17:00,2023-09-10 23:51:59,10:34:59,
2023-09-11,16,2023-09-11 12:45:59,2023-09-11 23:04:59,10:19:00,
2023-09-12,16,2023-09-12 12:57:59,2023-09-12 22:48:00,09:50:00,
2023-09-13,16,2023-09-13 13:27:00,2023-09-13 22:40:00,09:13:00,
2023-09-14,16,,,,
2023-09-15,16,,,,
2023-09-16,16,2023-09-16 13:41:00,2023-09-16 23:34:00,09:53:00,
2023-09-17,16,2023-09-17 13:20:59,2023-09-17 22:30:59,09:10:00,
2023-09-18,16,2023-09-18 13:18:00,2023-09-18 21:59:59,08:41:59,
2023-09-19,16,,,,
2023-09-20,16,,,,
2023-09-21,16,,,,
2023-09-22,16,,,,
2023-09-23,16,,,,
2023-09-24,16,,,,
2023-09-25,16,,,,
2023-09-26,16,,,,
2023-09-27,16,,,,
2023-09-28,16,,,,
2023-09-29,16,,,,
2023-09-30,16,,,,
2023-09-01,22,2023-09-01 13:02:00,2023-09-01 21:46:59,08:44:59,
2023-09-02,22,2023-09-02 13:08:59,2023-09-02 23:38:59,10:30:00,
2023-09-03,22,2023-09-03 11:26:00,2023-09-03 19:53:59,08:27:59,
2023-09-04,22,2023-09-04 13:07:00,2023-09-04 22:33:59,09:26:59,
2023-09-05,22,2023-09-05 13:10:59,2023-09-05 23:02:00,09:51:00,
2023-09-06,22,2023-09-06 13:15:00,2023-09-06 22:25:00,09:10:00,
2023-09-07,22,2023-09-07 13:04:00,2023-09-07 21:59:59,08:55:59,
2023-09-08,22,,,,
2023-09-09,22,,,,
2023-09-10,22,2023-09-10 10:42:59,2023-09-10 20:26:00,09:43:00,
2023-09-11,22,2023-09-11 12:57:59,2023-09-11 22:36:00,09:38:00,
2023-09-12,22,2023-09-12 12:59:59,2023-09-12 22:19:59,09:20:00,
2023-09-13,22,2023-09-13 13:04:00,2023-09-13 22:21:59,09:17:59,
2023-09-14,22,2023-09-14 13:05:00,2023-09-14 23:26:59,10:21:59,
2023-09-15,22,2023-09-15 13:15:00,2023-09-15 18:30:00,05:15:00,
2023-09-16,22,,,,
2023-09-17,22,,,,
2023-09-18,22,,,,
2023-09-19,22,,,,
2023-09-20,22,,,,
2023-09-21,22,,,,
2023-09-22,22,,,,
2023-09-23,22,,,,
2023-09-24,22,,,,
2023-09-25,22,,,,
2023-09-26,22,,,,
2023-09-27,22,,,,
2023-09-28,22,,,,
2023-09-29,22,,,,
2023-09-30,22,,,,
2023-09-01,27,2023-09-01 21:33:59,2023-09-02 07:28:00,09:54:00,
2023-09-02,27,,,,
2023-09-03,27,,,,
2023-09-04,27,,,,
2023-09-05,27,,,,
2023-09-06,27,2023-09-06 21:42:00,2023-09-07 07:28:00,09:46:00,
2023-09-07,27,,,,
2023-09-08,27,,,,
2023-09-09,27,,,,
2023-09-10,27,,,,
2023-09-11,27,,,,
2023-09-12,27,,,,
2023-09-13,27,,,,
2023-09-14,27,,,,
2023-09-15,27,2023-09-15 21:40:00,2023-09-16 07:20:59,09:40:59,
2023-09-16,27,,,,
2023-09-17,27,,,,
2023-09-18,27,2023-09-18 21:37:59,2023-09-19 07:22:59,09:45:00,
2023-09-19,27,,,,
2023-09-20,27,,,,
2023-09-21,27,,,,
2023-09-22,27,,,,
2023-09-23,27,,,,
2023-09-24,27,,,,
2023-09-25,27,,,,
2023-09-26,27,,,,
2023-09-27,27,,,,
2023-09-28,27,,,,
2023-09-29,27,,,,
2023-09-30,27,,,,
2023-09-01,28,2023-09-01 06:49:59,2023-09-01 16:21:59,09:32:00,
2023-09-02,28,2023-09-02 06:59:59,2023-09-02 16:50:00,09:50:00,
2023-09-03,28,2023-09-03 07:09:59,2023-09-03 16:55:59,09:46:00,
2023-09-04,28,2023-09-04 07:05:00,2023-09-04 16:41:00,09:36:00,
2023-09-05,28,,,,
2023-09-06,28,2023-09-06 06:52:00,2023-09-06 16:52:00,10:00:00,
2023-09-07,28,2023-09-07 06:59:59,2023-09-07 16:32:59,09:33:00,
2023-09-08,28,2023-09-08 06:52:00,2023-09-08 16:29:00,09:37:00,
2023-09-09,28,2023-09-09 07:09:59,2023-09-09 16:23:59,09:14:00,
2023-09-10,28,2023-09-10 06:56:00,2023-09-10 16:37:00,09:41:00,
2023-09-11,28,2023-09-11 06:49:59,2023-09-11 16:33:59,09:44:00,
2023-09-12,28,2023-09-12 07:02:00,2023-09-12 16:49:00,09:47:00,
2023-09-13,28,2023-09-13 06:56:59,2023-09-13 16:30:59,09:34:00,
2023-09-14,28,,,,
2023-09-15,28,2023-09-15 07:02:00,2023-09-15 16:57:59,09:55:59,
2023-09-16,28,2023-09-16 06:57:59,2023-09-16 16:30:00,09:32:00,
2023-09-17,28,2023-09-17 06:54:00,2023-09-17 16:53:59,09:59:59,
2023-09-18,28,2023-09-18 06:49:59,2023-09-18 15:56:00,09:06:00,
2023-09-19,28,,,,
2023-09-20,28,,,,
2023-09-21,28,,,,
2023-09-22,28,,,,
2023-09-23,28,,,,
2023-09-24,28,,,,
2023-09-25,28,,,,
2023-09-26,28,,,,
2023-09-27,28,,,,
2023-09-28,28,,,,
2023-09-29,28,,,,
2023-09-30,28,,,,
2023-09-01,29,2023-09-01 18:53:00,2023-09-01 23:58:00,05:05:00,
2023-09-02,29,2023-09-02 19:03:00,2023-09-02 23:53:59,04:50:59,
2023-09-03,29,2023-09-03 19:07:59,2023-09-03 23:37:59,04:30:00,
2023-09-04,29,2023-09-04 18:57:59,2023-09-04 23:45:00,04:47:00,
2023-09-05,29,,,,
2023-09-06,29,2023-09-06 19:05:00,2023-09-06 23:41:59,04:36:59,
2023-09-07,29,2023-09-07 19:03:00,2023-09-07 23:59:00,04:56:00,
2023-09-08,29,2023-09-08 18:59:59,2023-09-08 23:34:00,04:34:00,
2023-09-09,29,2023-09-09 19:00:59,2023-09-09 23:44:00,04:43:00,
2023-09-10,29,2023-09-10 10:11:59,2023-09-10 15:26:59,05:15:00,
2023-09-11,29,2023-09-11 19:07:59,2023-09-11 23:45:00,04:37:00,
2023-09-12,29,2023-09-12 18:57:59,2023-09-12 22:08:59,03:11:00,
2023-09-13,29,2023-09-13 18:52:00,2023-09-13 23:37:59,04:45:59,
2023-09-14,29,,,,
2023-09-15,29,2023-09-15 19:06:00,2023-09-15 23:52:59,04:46:59,
2023-09-16,29,2023-09-16 10:30:00,2023-09-16 15:33:00,05:03:00,
2023-09-17,29,2023-09-17 19:15:00,2023-09-17 23:42:59,04:27:59,
2023-09-18,29,2023-09-18 10:15:00,2023-09-18 15:19:00,05:04:00,
2023-09-19,29,,,,
2023-09-20,29,,,,
2023-09-21,29,,,,
2023-09-22,29,,,,
2023-09-23,29,,,,
2023-09-24,29,,,,
2023-09-25,29,,,,
2023-09-26,29,,,,
2023-09-27,29,,,,
2023-09-28,29,,,,
2023-09-29,29,,,,
2023-09-30,29,,,,
2023-09-01,31,2023-09-01 18:53:00,2023-09-01 23:55:00,05:02:00,
2023-09-02,31,2023-09-02 19:03:00,2023-09-02 23:50:59,04:47:59,
2023-09-03,31,,,,
2023-09-04,31,2023-09-04 09:26:59,2023-09-04 19:12:59,09:46:00,
2023-09-05,31,,,,
2023-09-06,31,2023-09-06 19:05:00,2023-09-06 23:28:59,04:23:59,
2023-09-07,31,2023-09-07 19:03:00,2023-09-07 22:45:59,03:42:59,
2023-09-08,31,2023-09-08 18:59:59,2023-09-08 22:45:59,03:46:00,
2023-09-09,31,2023-09-09 19:00:59,2023-09-09 23:44:00,04:43:00,
2023-09-10,31,,,,
2023-09-11,31,2023-09-11 18:52:00,2023-09-11 23:45:00,04:53:00,
2023-09-12,31,2023-09-12 08:59:00,2023-09-12 18:29:00,09:30:00,
2023-09-13,31,2023-09-13 18:52:00,2023-09-13 23:37:00,04:45:00,
2023-09-14,31,2023-09-14 09:13:59,2023-09-14 19:41:59,10:28:00,
2023-09-15,31,2023-09-15 19:06:00,2023-09-15 23:47:00,04:41:00,
2023-09-16,31,,,,
2023-09-17,31,2023-09-17 18:56:59,2023-09-17 23:42:59,04:46:00,
2023-09-18,31,2023-09-18 18:56:00,2023-09-18 22:18:00,03:22:00,
2023-09-19,31,,,,
2023-09-20,31,,,,
2023-09-21,31,,,,
2023-09-22,31,,,,
2023-09-23,31,,,,
2023-09-24,31,,,,
2023-09-25,31,,,,
2023-09-26,31,,,,
2023-09-27,31,,,,
2023-09-28,31,,,,
2023-09-29,31,,,,
2023-09-30,31,,,,
2023-09-01,36,,,,
2023-09-02,36,2023-09-02 07:52:59,2023-09-02 17:24:00,09:31:00,
2023-09-03,36,2023-09-03 07:52:59,2023-09-03 17:26:59,09:34:00,
2023-09-04,36,2023-09-04 07:56:59,2023-09-04 17:14:00,09:17:00,
2023-09-05,36,2023-09-05 07:53:59,2023-09-05 17:14:00,09:20:00,
2023-09-06,36,2023-09-06 07:57:59,2023-09-06 17:00:00,09:02:00,
2023-09-07,36,2023-09-07 07:53:59,2023-09-07 16:57:59,09:04:00,
2023-09-08,36,2023-09-08 08:01:00,2023-09-08 16:06:00,08:05:00,
2023-09-09,36,2023-09-09 07:43:59,2023-09-09 17:04:59,09:21:00,
2023-09-10,36,2023-09-10 08:37:00,2023-09-10 17:38:59,09:01:59,
2023-09-11,36,2023-09-11 07:57:59,2023-09-11 17:11:00,09:13:00,
2023-09-12,36,2023-09-12 08:00:00,2023-09-12 17:18:59,09:18:59,
2023-09-13,36,2023-09-13 07:43:59,2023-09-13 16:36:00,08:52:00,
2023-09-14,36,2023-09-14 08:07:59,2023-09-14 17:38:59,09:31:00,
2023-09-15,36,2023-09-15 08:10:00,2023-09-15 17:07:59,08:57:59,
2023-09-16,36,2023-09-16 08:08:59,2023-09-16 16:38:00,08:29:00,
2023-09-17,36,2023-09-17 08:05:59,2023-09-17 16:45:59,08:40:00,
2023-09-18,36,,,,
2023-09-19,36,,,,
2023-09-20,36,,,,
2023-09-21,36,,,,
2023-09-22,36,,,,
2023-09-23,36,,,,
2023-09-24,36,,,,
2023-09-25,36,,,,
2023-09-26,36,,,,
2023-09-27,36,,,,
2023-09-28,36,,,,
2023-09-29,36,,,,
2023-09-30,36,,,,
2023-09-01,37,2023-09-01 07:10:59,2023-09-01 16:52:00,09:41:00,
2023-09-02,37,2023-09-02 07:12:59,2023-09-02 16:57:59,09:45:00,
2023-09-03,37,2023-09-03 07:08:59,2023-09-03 16:41:00,09:32:00,
2023-09-04,37,,,,
2023-09-05,37,,,,
2023-09-06,37,,,,
2023-09-07,37,,,,
2023-09-08,37,,,,
2023-09-09,37,,,,
2023-09-10,37,,,,
2023-09-11,37,,,,
2023-09-12,37,,,,
2023-09-13,37,,,,
2023-09-14,37,,,,
2023-09-15,37,,,,
2023-09-16,37,,,,
2023-09-17,37,,,,
2023-09-18,37,,,,
2023-09-19,37,,,,
2023-09-20,37,,,,
2023-09-21,37,,,,
2023-09-22,37,,,,
2023-09-23,37,,,,
2023-09-24,37,,,,
2023-09-25,37,,,,
2023-09-26,37,,,,
2023-09-27,37,,,,
2023-09-28,37,,,,
2023-09-29,37,,,,
2023-09-30,37,,,,
2023-09-01,38,2023-09-01 09:07:00,2023-09-01 17:05:59,07:58:59,
2023-09-02,38,,,,
2023-09-03,38,2023-09-03 09:00:00,2023-09-03 18:18:00,09:18:00,
2023-09-04,38,2023-09-04 08:22:00,2023-09-04 16:57:59,08:35:59,
2023-09-05,38,2023-09-05 08:32:00,2023-09-05 15:34:59,07:02:59,
2023-09-06,38,2023-09-06 09:08:00,2023-09-06 18:01:59,08:53:59,
2023-09-07,38,2023-09-07 09:03:59,2023-09-07 18:02:59,08:59:00,
2023-09-08,38,2023-09-08 07:20:59,2023-09-08 16:23:59,09:03:00,
2023-09-09,38,2023-09-09 07:30:00,2023-09-09 16:27:00,08:57:00,
2023-09-10,38,2023-09-10 07:45:59,2023-09-10 16:41:59,08:56:00,
2023-09-11,38,2023-09-11 09:02:59,2023-09-11 18:02:59,09:00:00,
2023-09-12,38,,,,
2023-09-13,38,2023-09-13 09:00:59,2023-09-13 18:04:59,09:04:00,
2023-09-14,38,2023-09-14 06:58:59,2023-09-14 15:52:00,08:53:00,
2023-09-15,38,2023-09-15 09:14:59,2023-09-15 18:14:59,09:00:00,
2023-09-16,38,2023-09-16 08:52:59,2023-09-16 18:07:00,09:14:00,
2023-09-17,38,2023-09-17 09:08:00,2023-09-17 18:00:00,08:52:00,
2023-09-18,38,,,,
2023-09-19,38,,,,
2023-09-20,38,,,,
2023-09-21,38,,,,
2023-09-22,38,,,,
2023-09-23,38,,,,
2023-09-24,38,,,,
2023-09-25,38,,,,
2023-09-26,38,,,,
2023-09-27,38,,,,
2023-09-28,38,,,,
2023-09-29,38,,,,
2023-09-30,38,,,,
2023-09-01,39,,,,
2023-09-02,39,2023-09-02 12:51:00,2023-09-02 22:37:00,09:46:00,
2023-09-03,39,2023-09-03 12:38:59,2023-09-03 22:37:00,09:58:00,
2023-09-04,39,2023-09-04 12:45:59,2023-09-04 22:19:59,09:34:00,
2023-09-05,39,2023-09-05 12:53:00,2023-09-05 22:41:59,09:48:59,
2023-09-06,39,2023-09-06 12:37:59,2023-09-06 22:30:59,09:53:00,
2023-09-07,39,2023-09-07 12:49:59,2023-09-07 22:20:59,09:31:00,
2023-09-08,39,2023-09-08 12:45:59,2023-09-08 22:18:00,09:32:00,
2023-09-09,39,2023-09-09 12:53:00,2023-09-09 22:45:59,09:52:59,
2023-09-10,39,,,,
2023-09-11,39,2023-09-11 12:48:59,2023-09-11 22:39:00,09:50:00,
2023-09-12,39,2023-09-12 12:48:59,2023-09-12 22:27:00,09:38:00,
2023-09-13,39,2023-09-13 07:57:59,2023-09-13 17:51:59,09:54:00,
2023-09-14,39,2023-09-14 12:44:00,2023-09-14 22:33:59,09:49:59,
2023-09-15,39,2023-09-15 12:48:59,2023-09-15 22:33:59,09:45:00,
2023-09-16,39,2023-09-16 12:37:59,2023-09-16 22:18:00,09:40:00,
2023-09-17,39,,,,
2023-09-18,39,2023-09-18 09:32:00,2023-09-18 19:26:00,09:54:00,
2023-09-19,39,,,,
2023-09-20,39,,,,
2023-09-21,39,,,,
2023-09-22,39,,,,
2023-09-23,39,,,,
2023-09-24,39,,,,
2023-09-25,39,,,,
2023-09-26,39,,,,
2023-09-27,39,,,,
2023-09-28,39,,,,
2023-09-29,39,,,,
2023-09-30,39,,,,
2023-09-01,44,2023-09-01 08:47:00,2023-09-01 13:55:59,05:08:59,
2023-09-02,44,,,,
2023-09-03,44,,,,
2023-09-04,44,,,,
2023-09-05,44,,,,
2023-09-06,44,,,,
2023-09-07,44,,,,
2023-09-08,44,,,,
2023-09-09,44,,,,
2023-09-10,44,,,,
2023-09-11,44,,,,
2023-09-12,44,2023-09-12 13:30:00,2023-09-12 23:35:00,10:05:00,
2023-09-13,44,2023-09-13 13:33:59,2023-09-13 23:37:00,10:03:00,
2023-09-14,44,2023-09-14 13:30:59,2023-09-14 23:42:59,10:12:00,
2023-09-15,44,2023-09-15 13:34:59,2023-09-15 23:42:59,10:08:00,
2023-09-15,44,2023-09-15 13:34:59,2023-09-16 13:38:00,00:03:00,
2023-09-15,44,2023-09-15 13:34:59,2023-09-16 23:37:00,10:02:00,
2023-09-16,44,,,,
2023-09-17,44,2023-09-17 13:40:00,2023-09-17 23:42:59,10:02:59,
2023-09-18,44,2023-09-18 18:29:00,2023-09-18 23:35:00,05:06:00,
2023-09-19,44,,,,
2023-09-20,44,,,,
2023-09-21,44,,,,
2023-09-22,44,,,,
2023-09-23,44,,,,
2023-09-24,44,,,,
2023-09-25,44,,,,
2023-09-26,44,,,,
2023-09-27,44,,,,
2023-09-28,44,,,,
2023-09-29,44,,,,
2023-09-30,44,,,,
2023-09-01,47,2023-09-01 09:11:00,2023-09-01 18:45:59,09:34:59,
2023-09-02,47,2023-09-02 08:46:00,2023-09-02 17:15:00,08:29:00,
2023-09-03,47,,,,
2023-09-04,47,2023-09-04 09:22:59,2023-09-04 18:00:00,08:37:00,
2023-09-05,47,2023-09-05 08:37:59,2023-09-05 18:02:59,09:25:00,
2023-09-06,47,2023-09-06 08:59:00,2023-09-06 17:23:00,08:24:00,
2023-09-07,47,2023-09-07 09:03:59,2023-09-07 17:59:00,08:55:00,
2023-09-08,47,2023-09-08 09:18:00,2023-09-08 15:08:00,05:50:00,
2023-09-09,47,,,,
2023-09-10,47,,,,
2023-09-11,47,2023-09-11 08:46:00,2023-09-11 17:55:00,09:09:00,
2023-09-12,47,2023-09-12 09:03:59,2023-09-12 18:02:59,08:59:00,
2023-09-13,47,2023-09-13 08:56:00,2023-09-13 14:05:59,05:09:59,
2023-09-14,47,2023-09-14 08:57:00,2023-09-14 17:58:00,09:01:00,
2023-09-15,47,2023-09-15 09:06:00,2023-09-15 18:00:00,08:54:00,
2023-09-16,47,2023-09-16 09:06:00,2023-09-16 17:49:59,08:43:59,
2023-09-17,47,,,,
2023-09-18,47,,,,
2023-09-19,47,,,,
2023-09-20,47,,,,
2023-09-21,47,,,,
2023-09-22,47,,,,
2023-09-23,47,,,,
2023-09-24,47,,,,
2023-09-25,47,,,,
2023-09-26,47,,,,
2023-09-27,47,,,,
2023-09-28,47,,,,
