empcode,punchtime,punchdate,terminal_sl,punch_date_time
533,17:31:41,2024-03-16,CK5O223960352,20240316 173141
11526,17:31:42,2024-03-16,CK5O223960315,20240316 173142
35,17:31:44,2024-03-16,CK5O223960297,20240316 173144
275,17:31:46,2024-03-16,CK5O223960352,20240316 173146
563,17:31:46,2024-03-16,CK5O223960333,20240316 173146
503,17:31:51,2024-03-16,CK5O223960297,20240316 173151
21,17:31:52,2024-03-16,CK5O223960333,20240316 173152
285,17:31:59,2024-03-16,CK5O223960297,20240316 173159
668,17:31:59,2024-03-16,CK5O223960352,20240316 173159
722,17:32:03,2024-03-16,CK5O223960333,20240316 173203
318,17:32:04,2024-03-16,CK5O223960297,20240316 173204
600,17:32:05,2024-03-16,CK5O223960352,20240316 173205
15,17:32:10,2024-03-16,CK5O223960333,20240316 173210
574,17:32:10,2024-03-16,CK5O223960352,20240316 173210
11469,17:32:11,2024-03-16,CK5O223960315,20240316 173211
17,17:32:17,2024-03-16,CK5O223960333,20240316 173217
304,17:32:17,2024-03-16,CK5O223960297,20240316 173217
685,17:32:17,2024-03-16,CK5O223960352,20240316 173217
3,17:32:22,2024-03-16,CK5O223960333,20240316 173222
725,17:32:23,2024-03-16,CK5O223960352,20240316 173223
690,17:32:24,2024-03-16,CK5O223960297,20240316 173224
364,17:32:28,2024-03-16,CK5O223960333,20240316 173228
625,17:32:28,2024-03-16,CK5O223960352,20240316 173228
676,17:32:29,2024-03-16,CK5O223960297,20240316 173229
570,17:32:34,2024-03-16,CK5O223960333,20240316 173234
687,17:32:36,2024-03-16,CK5O223960352,20240316 173236
532,17:32:38,2024-03-16,CK5O223960297,20240316 173238
20,17:32:40,2024-03-16,CK5O223960333,20240316 173240
705,17:32:41,2024-03-16,CK5O223960352,20240316 173241
680,17:32:44,2024-03-16,CK5O223960297,20240316 173244
576,17:32:47,2024-03-16,CK5O223960352,20240316 173247
467,17:32:50,2024-03-16,CK5O223960297,20240316 173250
51,17:32:50,2024-03-16,CK5O223960333,20240316 173250
659,17:32:53,2024-03-16,CK5O223960352,20240316 173253
656,17:32:55,2024-03-16,CK5O223960297,20240316 173255
663,17:32:55,2024-03-16,CK5O223960333,20240316 173255
621,17:33:00,2024-03-16,CK5O223960333,20240316 173300
694,17:33:01,2024-03-16,CK5O223960297,20240316 173301
644,17:33:02,2024-03-16,CK5O223960352,20240316 173302
635,17:33:06,2024-03-16,CK5O223960352,20240316 173306
319,17:33:12,2024-03-16,CK5O223960333,20240316 173312
422,17:33:13,2024-03-16,CK5O223960297,20240316 173313
631,17:33:13,2024-03-16,CK5O223960352,20240316 173313
36,17:33:17,2024-03-16,CK5O223960333,20240316 173317
446,17:33:19,2024-03-16,CK5O223960297,20240316 173319
608,17:33:22,2024-03-16,CK5O223960352,20240316 173322
441,17:33:25,2024-03-16,CK5O223960297,20240316 173325
469,17:33:30,2024-03-16,CK5O223960297,20240316 173330
607,17:33:30,2024-03-16,CK5O223960352,20240316 173330
16,17:33:35,2024-03-16,CK5O223960333,20240316 173335
696,17:33:35,2024-03-16,CK5O223960297,20240316 173335
472,17:33:40,2024-03-16,CK5O223960297,20240316 173340
118,17:33:41,2024-03-16,CK5O223960333,20240316 173341
572,17:33:41,2024-03-16,CK5O223960352,20240316 173341
315,17:33:46,2024-03-16,CK5O223960297,20240316 173346
616,17:33:51,2024-03-16,CK5O223960352,20240316 173351
1,17:33:52,2024-03-16,CK5O223960297,20240316 173352
623,17:33:57,2024-03-16,CK5O223960352,20240316 173357
293,17:33:59,2024-03-16,CK5O223960297,20240316 173359
670,17:34:01,2024-03-16,CK5O223960352,20240316 173401
91,17:34:07,2024-03-16,CK5O223960352,20240316 173407
561,17:34:14,2024-03-16,CK5O223960352,20240316 173414
665,17:34:20,2024-03-16,CK5O223960352,20240316 173420
711,17:34:29,2024-03-16,CK5O223960352,20240316 173429
699,17:34:32,2024-03-16,CK5O223960333,20240316 173432
337,17:34:38,2024-03-16,CK5O223960352,20240316 173438
122,17:34:39,2024-03-16,CK5O223960333,20240316 173439
585,17:34:44,2024-03-16,CK5O223960333,20240316 173444
430,17:34:47,2024-03-16,CK5O223960352,20240316 173447
29,17:34:50,2024-03-16,CK5O223960333,20240316 173450
162,17:34:52,2024-03-16,CK5O223960352,20240316 173452
190,17:34:59,2024-03-16,CK5O223960333,20240316 173459
18,17:35:02,2024-03-16,CK5O223960352,20240316 173502
345,17:35:03,2024-03-16,CK5O223960315,20240316 173503
301,17:35:05,2024-03-16,CK5O223960333,20240316 173505
6,17:35:11,2024-03-16,CK5O223960333,20240316 173511
728,17:35:14,2024-03-16,CK5O223960333,20240316 173514
00027,17:35:46,2024-03-16,CK5O223960333,20240316 173546
701,17:35:52,2024-03-16,CK5O223960333,20240316 173552
593,17:35:57,2024-03-16,CK5O223960333,20240316 173557
143,17:36:04,2024-03-16,CK5O223960333,20240316 173604
130,17:36:09,2024-03-16,CK5O223960333,20240316 173609
286,17:36:14,2024-03-16,CK5O223960333,20240316 173614
11400,17:36:25,2024-03-16,CK5O223960315,20240316 173625
512,17:36:25,2024-03-16,CK5O223960333,20240316 173625
40,17:36:30,2024-03-16,CK5O223960333,20240316 173630
538,17:36:35,2024-03-16,CK5O223960333,20240316 173635
11442,17:36:36,2024-03-16,CK5O223960315,20240316 173636
716,17:36:40,2024-03-16,CK5O223960333,20240316 173640
610,17:36:45,2024-03-16,CK5O223960333,20240316 173645
542,17:36:51,2024-03-16,CK5O223960333,20240316 173651
613,17:36:57,2024-03-16,CK5O223960333,20240316 173657
11523,17:37:02,2024-03-16,CK5O223960333,20240316 173702
5,17:38:10,2024-03-16,CK5O223960333,20240316 173810
14,17:38:21,2024-03-16,CK5O223960333,20240316 173821
11426,17:38:30,2024-03-16,CK5O223960315,20240316 173830
61,17:40:10,2024-03-16,CK5O223960333,20240316 174010
11280,17:42:15,2024-03-16,CK5O223960333,20240316 174215
11292,17:43:43,2024-03-16,CK5O223960315,20240316 174343
11513,17:44:25,2024-03-16,CK5O223960315,20240316 174425
10007,17:49:51,2024-03-16,CK5O223960315,20240316 174951
55,17:57:10,2024-03-16,CK5O223960333,20240316 175710
10019,18:01:04,2024-03-16,CK5O223960315,20240316 180104
11349,18:06:24,2024-03-16,CK5O223960315,20240316 180624
11360,18:12:47,2024-03-16,CK5O223960315,20240316 181247
11524,18:22:43,2024-03-16,CK5O223960315,20240316 182243
11225,18:24:32,2024-03-16,CK5O223960315,20240316 182432
10001,18:24:40,2024-03-16,CK5O223960315,20240316 182440
11228,18:26:51,2024-03-16,CK5O223960315,20240316 182651
11430,18:27:23,2024-03-16,CK5O223960315,20240316 182723
11417,18:28:50,2024-03-16,CK5O223960315,20240316 182850
11480,18:28:59,2024-03-16,CK5O223960315,20240316 182859
11512,18:29:07,2024-03-16,CK5O223960315,20240316 182907
11418,18:29:15,2024-03-16,CK5O223960315,20240316 182915
11419,18:29:21,2024-03-16,CK5O223960315,20240316 182921
11257,18:29:28,2024-03-16,CK5O223960315,20240316 182928
11478,18:29:33,2024-03-16,CK5O223960315,20240316 182933
11314,18:29:41,2024-03-16,CK5O223960315,20240316 182941
11422,18:29:48,2024-03-16,CK5O223960315,20240316 182948
11421,18:29:55,2024-03-16,CK5O223960315,20240316 182955
11416,18:30:02,2024-03-16,CK5O223960315,20240316 183002
11415,18:30:09,2024-03-16,CK5O223960315,20240316 183009
53,18:30:15,2024-03-16,CK5O223960315,20240316 183015
10009,18:30:23,2024-03-16,CK5O223960315,20240316 183023
11464,18:30:29,2024-03-16,CK5O223960315,20240316 183029
10011,18:30:34,2024-03-16,CK5O223960315,20240316 183034
11424,18:30:41,2024-03-16,CK5O223960315,20240316 183041
11425,18:30:47,2024-03-16,CK5O223960315,20240316 183047
11497,18:30:52,2024-03-16,CK5O223960315,20240316 183052
10,18:31:04,2024-03-16,CK5O223960315,20240316 183104
11333,18:31:16,2024-03-16,CK5O223960315,20240316 183116
11486,18:31:21,2024-03-16,CK5O223960315,20240316 183121
11503,18:31:26,2024-03-16,CK5O223960315,20240316 183126
10017,18:31:34,2024-03-16,CK5O223960315,20240316 183134
11472,18:31:41,2024-03-16,CK5O223960315,20240316 183141
213,18:31:47,2024-03-16,CK5O223960315,20240316 183147
11325,18:31:54,2024-03-16,CK5O223960315,20240316 183154
11247,18:32:00,2024-03-16,CK5O223960315,20240316 183200
10010,18:32:07,2024-03-16,CK5O223960315,20240316 183207
11492,18:32:13,2024-03-16,CK5O223960315,20240316 183213
11449,18:32:19,2024-03-16,CK5O223960315,20240316 183219
11465,18:32:25,2024-03-16,CK5O223960315,20240316 183225
111,18:32:34,2024-03-16,CK5O223960315,20240316 183234
11351,18:32:41,2024-03-16,CK5O223960315,20240316 183241
11506,18:32:49,2024-03-16,CK5O223960315,20240316 183249
43,18:32:54,2024-03-16,CK5O223960315,20240316 183254
11500,18:32:59,2024-03-16,CK5O223960315,20240316 183259
11305,18:33:05,2024-03-16,CK5O223960315,20240316 183305
11468,18:33:11,2024-03-16,CK5O223960315,20240316 183311
11407,18:33:18,2024-03-16,CK5O223960315,20240316 183318
11298,18:33:25,2024-03-16,CK5O223960315,20240316 183325
11491,18:33:32,2024-03-16,CK5O223960315,20240316 183332
10004,18:33:38,2024-03-16,CK5O223960315,20240316 183338
13,18:33:43,2024-03-16,CK5O223960315,20240316 183343
11494,18:33:48,2024-03-16,CK5O223960315,20240316 183348
11502,18:33:54,2024-03-16,CK5O223960315,20240316 183354
11308,18:33:59,2024-03-16,CK5O223960315,20240316 183359
10013,18:34:05,2024-03-16,CK5O223960315,20240316 183405
11437,18:34:12,2024-03-16,CK5O223960315,20240316 183412
11508,18:34:19,2024-03-16,CK5O223960315,20240316 183419
11493,18:34:24,2024-03-16,CK5O223960315,20240316 183424
49,18:34:52,2024-03-16,CK5O223960315,20240316 183452
10012,18:35:02,2024-03-16,CK5O223960315,20240316 183502
39,18:35:08,2024-03-16,CK5O223960315,20240316 183508
38,18:35:17,2024-03-16,CK5O223960315,20240316 183517
11369,18:35:28,2024-03-16,CK5O223960315,20240316 183528
11471,18:35:36,2024-03-16,CK5O223960315,20240316 183536
11451,18:35:41,2024-03-16,CK5O223960315,20240316 183541
11328,18:35:47,2024-03-16,CK5O223960315,20240316 183547
11444,18:35:53,2024-03-16,CK5O223960315,20240316 183553
11499,18:36:00,2024-03-16,CK5O223960315,20240316 183600
10005,18:36:10,2024-03-16,CK5O223960315,20240316 183610
11302,18:36:18,2024-03-16,CK5O223960315,20240316 183618
41,18:36:30,2024-03-16,CK5O223960315,20240316 183630
11525,18:36:37,2024-03-16,CK5O223960315,20240316 183637
11507,18:36:45,2024-03-16,CK5O223960315,20240316 183645
11384,18:36:50,2024-03-16,CK5O223960315,20240316 183650
11445,18:36:55,2024-03-16,CK5O223960315,20240316 183655
11434,18:37:01,2024-03-16,CK5O223960315,20240316 183701
11354,18:37:07,2024-03-16,CK5O223960315,20240316 183707
11447,18:37:13,2024-03-16,CK5O223960315,20240316 183713
108,18:37:21,2024-03-16,CK5O223960315,20240316 183721
110,18:37:31,2024-03-16,CK5O223960315,20240316 183731
11446,18:37:38,2024-03-16,CK5O223960315,20240316 183738
11443,18:37:42,2024-03-16,CK5O223960315,20240316 183742
11350,18:37:49,2024-03-16,CK5O223960315,20240316 183749
11283,18:37:58,2024-03-16,CK5O223960315,20240316 183758
109,18:38:08,2024-03-16,CK5O223960315,20240316 183808
32,18:38:15,2024-03-16,CK5O223960315,20240316 183815
11428,18:38:21,2024-03-16,CK5O223960315,20240316 183821
10015,18:38:37,2024-03-16,CK5O223960315,20240316 183837
72,18:38:44,2024-03-16,CK5O223960315,20240316 183844
11414,18:38:50,2024-03-16,CK5O223960315,20240316 183850
52,18:39:01,2024-03-16,CK5O223960315,20240316 183901
10006,18:39:18,2024-03-16,CK5O223960315,20240316 183918
62,18:39:27,2024-03-16,CK5O223960315,20240316 183927
207,18:39:34,2024-03-16,CK5O223960315,20240316 183934
11515,18:39:42,2024-03-16,CK5O223960315,20240316 183942
134,18:40:07,2024-03-16,CK5O223960315,20240316 184007
11495,18:40:20,2024-03-16,CK5O223960315,20240316 184020
98,18:40:28,2024-03-16,CK5O223960315,20240316 184028
19,18:41:03,2024-03-16,CK5O223960315,20240316 184103
10008,18:41:17,2024-03-16,CK5O223960315,20240316 184117
11438,18:41:26,2024-03-16,CK5O223960315,20240316 184126
11394,18:41:33,2024-03-16,CK5O223960315,20240316 184133
11490,18:41:42,2024-03-16,CK5O223960315,20240316 184142
11466,18:41:49,2024-03-16,CK5O223960315,20240316 184149
10014,18:41:55,2024-03-16,CK5O223960315,20240316 184155
97,18:42:29,2024-03-16,CK5O223960315,20240316 184229
11474,18:45:32,2024-03-16,CK5O223960315,20240316 184532
10029,18:46:02,2024-03-16,CK5O223960315,20240316 184602
90,18:46:22,2024-03-16,CK5O223960315,20240316 184622
10018,18:52:22,2024-03-16,CK5O223960315,20240316 185222
279,18:53:15,2024-03-16,CK5O223960315,20240316 185315
308,19:11:43,2024-03-16,CK5O223960315,20240316 191143
00011,19:39:17,2024-03-16,CK5O223960352,20240316 193917
105,19:48:08,2024-03-16,CK5O223960315,20240316 194808
75,20:00:43,2024-03-16,CK5O223960315,20240316 200043
81,20:24:40,2024-03-16,CK5O223960315,20240316 202440
102,20:59:56,2024-03-16,CK5O223960315,20240316 205956
351,21:00:12,2024-03-16,CK5O223960315,20240316 210012
353,21:00:18,2024-03-16,CK5O223960315,20240316 210018
309,21:01:37,2024-03-16,CK5O223960315,20240316 210137
296,21:11:18,2024-03-16,CK5O223960315,20240316 211118
11514T,21:12:13,2024-03-16,CK5O223960315,20240316 211213
311,21:19:18,2024-03-16,CK5O223960315,20240316 211918
329,21:19:30,2024-03-16,CK5O223960315,20240316 211930
354,21:24:40,2024-03-16,CK5O223960315,20240316 212440
11521,21:26:03,2024-03-16,CK5O223960315,20240316 212603
3,21:30:01,2024-03-16,CK5O223960333,20240316 213001
355,22:00:13,2024-03-16,CK5O223960315,20240316 220013
4,22:03:51,2024-03-16,CK5O223960333,20240316 220351
10023,22:10:15,2024-03-16,CK5O223960315,20240316 221015
320,22:22:58,2024-03-16,CK5O223960315,20240316 222258
346,22:23:09,2024-03-16,CK5O223960315,20240316 222309
54,22:32:03,2024-03-16,CK5O223960333,20240316 223203
8,23:56:56,2024-03-16,CK5O223960333,20240316 235656
3,23:57:05,2024-03-16,CK5O223960333,20240316 235705
3,00:03:19,2024-03-17,CK5O223960333,20240317 000319
8,00:03:27,2024-03-17,CK5O223960333,20240317 000327
3,06:34:41,2024-03-17,CK5O223960333,20240317 063441
309,07:00:38,2024-03-17,CK5O223960315,20240317 070038
353,07:04:40,2024-03-17,CK5O223960315,20240317 070440
10023,07:11:53,2024-03-17,CK5O223960315,20240317 071153
329,07:36:52,2024-03-17,CK5O223960315,20240317 073652
19,08:33:11,2024-03-17,CK5O223960315,20240317 083311
11449,08:37:18,2024-03-17,CK5O223960315,20240317 083718
11394,08:43:16,2024-03-17,CK5O223960315,20240317 084316
11492,08:44:57,2024-03-17,CK5O223960315,20240317 084457
11247,08:46:47,2024-03-17,CK5O223960315,20240317 084647
39,08:47:20,2024-03-17,CK5O223960315,20240317 084720
11444,08:48:54,2024-03-17,CK5O223960315,20240317 084854
11395,08:49:00,2024-03-17,CK5O223960315,20240317 084900
10011,08:52:09,2024-03-17,CK5O223960315,20240317 085209
43,08:52:15,2024-03-17,CK5O223960315,20240317 085215
11472,08:52:22,2024-03-17,CK5O223960315,20240317 085222
10004,08:52:43,2024-03-17,CK5O223960315,20240317 085243
10010,08:53:49,2024-03-17,CK5O223960315,20240317 085349
49,08:53:58,2024-03-17,CK5O223960315,20240317 085358
110,08:54:24,2024-03-17,CK5O223960315,20240317 085424
108,08:54:30,2024-03-17,CK5O223960315,20240317 085430
32,08:54:49,2024-03-17,CK5O223960315,20240317 085449
11468,08:54:58,2024-03-17,CK5O223960315,20240317 085458
10005,08:56:21,2024-03-17,CK5O223960315,20240317 085621
11502,08:56:45,2024-03-17,CK5O223960315,20240317 085645
11305,08:57:19,2024-03-17,CK5O223960315,20240317 085719
10009,08:58:12,2024-03-17,CK5O223960315,20240317 085812
11369,08:58:48,2024-03-17,CK5O223960315,20240317 085848
11491,08:58:56,2024-03-17,CK5O223960315,20240317 085856
11500,08:59:02,2024-03-17,CK5O223960315,20240317 085902
11525,08:59:09,2024-03-17,CK5O223960315,20240317 085909
11466,08:59:22,2024-03-17,CK5O223960315,20240317 085922
72,09:00:09,2024-03-17,CK5O223960315,20240317 090009
11493,09:00:15,2024-03-17,CK5O223960315,20240317 090015
111,09:00:27,2024-03-17,CK5O223960315,20240317 090027
11447,09:00:35,2024-03-17,CK5O223960315,20240317 090035
11490,09:00:43,2024-03-17,CK5O223960315,20240317 090043
11438,09:00:47,2024-03-17,CK5O223960315,20240317 090047
11428,09:00:57,2024-03-17,CK5O223960315,20240317 090057
11325,09:01:25,2024-03-17,CK5O223960315,20240317 090125
11351,09:01:31,2024-03-17,CK5O223960315,20240317 090131
11298,09:01:36,2024-03-17,CK5O223960315,20240317 090136
10013,09:01:41,2024-03-17,CK5O223960315,20240317 090141
11308,09:01:46,2024-03-17,CK5O223960315,20240317 090146
109,09:02:01,2024-03-17,CK5O223960315,20240317 090201
11437,09:02:17,2024-03-17,CK5O223960315,20240317 090217
10015,09:02:27,2024-03-17,CK5O223960315,20240317 090227
11426,09:02:36,2024-03-17,CK5O223960315,20240317 090236
11508,09:03:17,2024-03-17,CK5O223960315,20240317 090317
11328,09:03:39,2024-03-17,CK5O223960315,20240317 090339
11507,09:03:58,2024-03-17,CK5O223960315,20240317 090358
11302,09:04:06,2024-03-17,CK5O223960315,20240317 090406
41,09:04:32,2024-03-17,CK5O223960315,20240317 090432
11434,09:05:00,2024-03-17,CK5O223960315,20240317 090500
10012,09:06:29,2024-03-17,CK5O223960315,20240317 090629
11499,09:07:12,2024-03-17,CK5O223960315,20240317 090712
11494,09:07:55,2024-03-17,CK5O223960315,20240317 090755
38,09:08:37,2024-03-17,CK5O223960315,20240317 090837
11384,09:09:04,2024-03-17,CK5O223960315,20240317 090904
11446,09:09:29,2024-03-17,CK5O223960315,20240317 090929
8,09:09:56,2024-03-17,CK5O223960333,20240317 090956
207,09:10:07,2024-03-17,CK5O223960315,20240317 091007
11495,09:10:13,2024-03-17,CK5O223960315,20240317 091013
11350,09:11:37,2024-03-17,CK5O223960315,20240317 091137
441,09:12:53,2024-03-17,CK5O223960297,20240317 091253
1,09:13:01,2024-03-17,CK5O223960297,20240317 091301
523,09:13:07,2024-03-17,CK5O223960297,20240317 091307
304,09:13:19,2024-03-17,CK5O223960297,20240317 091319
11445,09:13:30,2024-03-17,CK5O223960315,20240317 091330
11333,09:14:24,2024-03-17,CK5O223960315,20240317 091424
11465,09:14:41,2024-03-17,CK5O223960315,20240317 091441
11407,09:16:47,2024-03-17,CK5O223960315,20240317 091647
11354,09:17:24,2024-03-17,CK5O223960315,20240317 091724
52,09:19:45,2024-03-17,CK5O223960315,20240317 091945
11292,09:20:07,2024-03-17,CK5O223960315,20240317 092007
10014,09:20:52,2024-03-17,CK5O223960315,20240317 092052
11489,09:23:43,2024-03-17,CK5O223960315,20240317 092343
328,10:36:38,2024-03-17,CK5O223960315,20240317 103638
311,13:22:14,2024-03-17,CK5O223960315,20240317 132214
19,15:00:40,2024-03-17,CK5O223960315,20240317 150040
328,15:20:39,2024-03-17,CK5O223960315,20240317 152039
11426,15:59:09,2024-03-17,CK5O223960315,20240317 155909
11325,16:00:13,2024-03-17,CK5O223960315,20240317 160013
10011,16:00:21,2024-03-17,CK5O223960315,20240317 160021
11437,16:00:33,2024-03-17,CK5O223960315,20240317 160033
10010,16:00:40,2024-03-17,CK5O223960315,20240317 160040
10009,16:00:48,2024-03-17,CK5O223960315,20240317 160048
11500,16:00:54,2024-03-17,CK5O223960315,20240317 160054
11449,16:01:01,2024-03-17,CK5O223960315,20240317 160101
11492,16:01:07,2024-03-17,CK5O223960315,20240317 160107
111,16:01:17,2024-03-17,CK5O223960315,20240317 160117
11292,16:01:25,2024-03-17,CK5O223960315,20240317 160125
11468,16:01:34,2024-03-17,CK5O223960315,20240317 160134
11305,16:01:45,2024-03-17,CK5O223960315,20240317 160145
11351,16:01:52,2024-03-17,CK5O223960315,20240317 160152
11247,16:01:57,2024-03-17,CK5O223960315,20240317 160157
11465,16:02:04,2024-03-17,CK5O223960315,20240317 160204
11502,16:02:09,2024-03-17,CK5O223960315,20240317 160209
11508,16:02:16,2024-03-17,CK5O223960315,20240317 160216
10012,16:02:21,2024-03-17,CK5O223960315,20240317 160221
11407,16:02:26,2024-03-17,CK5O223960315,20240317 160226
10015,16:02:33,2024-03-17,CK5O223960315,20240317 160233
11491,16:02:38,2024-03-17,CK5O223960315,20240317 160238
11494,16:02:44,2024-03-17,CK5O223960315,20240317 160244
11525,16:02:49,2024-03-17,CK5O223960315,20240317 160249
11298,16:02:54,2024-03-17,CK5O223960315,20240317 160254
11447,16:03:01,2024-03-17,CK5O223960315,20240317 160301
11308,16:03:07,2024-03-17,CK5O223960315,20240317 160307
11369,16:03:13,2024-03-17,CK5O223960315,20240317 160313
11302,16:03:21,2024-03-17,CK5O223960315,20240317 160321
10013,16:03:27,2024-03-17,CK5O223960315,20240317 160327
11493,16:03:31,2024-03-17,CK5O223960315,20240317 160331
11489,16:03:36,2024-03-17,CK5O223960315,20240317 160336
11507,16:03:58,2024-03-17,CK5O223960315,20240317 160358
49,16:04:10,2024-03-17,CK5O223960315,20240317 160410
11328,16:04:14,2024-03-17,CK5O223960315,20240317 160414
110,16:04:20,2024-03-17,CK5O223960315,20240317 160420
11438,16:04:26,2024-03-17,CK5O223960315,20240317 160426
11395,16:04:29,2024-03-17,CK5O223960315,20240317 160429
43,16:04:37,2024-03-17,CK5O223960315,20240317 160437
11495,16:04:43,2024-03-17,CK5O223960315,20240317 160443
108,16:04:51,2024-03-17,CK5O223960315,20240317 160451
10005,16:05:01,2024-03-17,CK5O223960315,20240317 160501
11446,16:05:09,2024-03-17,CK5O223960315,20240317 160509
109,16:05:16,2024-03-17,CK5O223960315,20240317 160516
52,16:05:22,2024-03-17,CK5O223960315,20240317 160522
11444,16:05:29,2024-03-17,CK5O223960315,20240317 160529
39,16:05:34,2024-03-17,CK5O223960315,20240317 160534
11445,16:05:40,2024-03-17,CK5O223960315,20240317 160540
11394,16:05:44,2024-03-17,CK5O223960315,20240317 160544
